route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7634,3,4048783,Route 1- Five Points Station,1,226535,86468
7634,3,4041222,Route 1- Five Points Station,1,226535,86468
7634,3,4048786,Route 1- Coronet Way,0,227531,86348
7634,3,4042081,Route 1- Five Points Station,1,227531,86468
7634,3,4034326,Route 1- Coronet Way,0,227531,86348
7634,3,4041232,Route 1- Coronet Way,0,226535,86348
7634,3,4029888,Route 1- Coronet Way,0,226535,86348
7634,3,4024554,Route 1- Five Points Station,1,226535,86468
7634,3,4035025,Route 1- Five Points Station,1,227531,86468
7634,3,4044296,Route 1- Five Points Station,1,227531,86468
7634,3,4046174,Route 1- Five Points Station,1,226535,86468
7634,3,4049704,Route 1- Coronet Way,0,226535,86348
7634,3,4048498,Route 1- Five Points Station,1,226535,86468
7634,3,4038492,Route 1- Five Points Station,1,227531,86468
7634,3,4031773,Route 1- Five Points Station,1,227531,86468
7634,3,4034325,Route 1- Coronet Way,0,227531,86348
7634,3,4025974,Route 1- Coronet Way,0,226535,86348
7634,3,4027841,Route 1- Coronet Way,0,226535,86348
7634,3,4029889,Route 1- Coronet Way,0,226535,86348
7634,3,4027840,Route 1- Coronet Way,0,226535,86348
7634,3,4033062,Route 1- Coronet Way,0,227531,86348
7634,3,4038494,Route 1- Five Points Station,1,226535,86468
7634,3,4032662,Route 1- Coronet Way,0,227531,86348
7634,3,4033059,Route 1- Five Points Station,1,226535,86468
7634,3,4024564,Route 1- Coronet Way,0,226535,86348
7634,3,4032658,Route 1- Five Points Station,1,227531,86468
7634,3,4034306,Route 1- Five Points Station,1,227531,86468
7634,3,4038493,Route 1- Five Points Station,1,226535,86468
7634,3,4024563,Route 1- Coronet Way,0,227531,86348
7634,3,4041221,Route 1- Five Points Station,1,226535,86468
7634,3,4031782,Route 1- Coronet Way,0,227531,86348
7634,3,4047524,Route 1- Five Points Station,1,227531,86468
7634,3,4044123,Route 1- Five Points Station,1,226535,86468
7634,3,4024565,Route 1- Coronet Way,0,226535,86348
7634,3,4034307,Route 1- Five Points Station,1,227531,86468
7634,3,4024553,Route 1- Five Points Station,1,227531,86468
7634,3,4034327,Route 1- Coronet Way,0,227531,86348
7634,3,4034308,Route 1- Five Points Station,1,226535,86468
7634,3,4042293,Route 1- Coronet Way,0,226535,86348
7634,3,4034305,Route 1- Five Points Station,1,227531,86468
7634,3,4027839,Route 1- Coronet Way,0,227531,86348
7634,3,4042083,Route 1- Coronet Way,0,227531,86348
7634,3,4034329,Route 1- Coronet Way,0,226535,86348
7634,3,4031774,Route 1- Five Points Station,1,226535,86468
7634,3,4027828,Route 1- Five Points Station,1,227531,86468
7634,3,4025973,Route 1- Coronet Way,0,227531,86348
7634,3,4042085,Route 1- Coronet Way,0,227531,86348
7634,3,4048120,Route 1- Five Points Station,1,226535,86468
7634,3,4034330,Route 1- Coronet Way,0,226535,86348
7634,3,4034328,Route 1- Coronet Way,0,226535,86348
7634,4,4027837,Route 1- Coronet Way,0,226475,86348
7634,4,4029887,Route 1- Coronet Way,0,226475,86348
7634,4,4048123,Route 1- Coronet Way,0,226475,86348
7634,4,4031770,Route 1- Five Points Station,1,226475,86468
7634,4,4024551,Route 1- Five Points Station,1,226526,86468
7634,4,4027827,Route 1- Five Points Station,1,226526,86468
7634,4,4031772,Route 1- Five Points Station,1,226475,86468
7634,4,4034322,Route 1- Coronet Way,0,226526,86348
7634,4,4050455,Route 1- Coronet Way,0,226526,86348
7634,4,4031780,Route 1- Coronet Way,0,226526,86348
7634,4,4043615,Route 1- Five Points Station,1,226475,86468
7634,4,4048785,Route 1- Coronet Way,0,226475,86348
7634,4,4050454,Route 1- Coronet Way,0,226475,86348
7634,4,4038498,Route 1- Coronet Way,0,226475,86348
7634,4,4044297,Route 1- Five Points Station,1,226526,86468
7634,4,4031781,Route 1- Coronet Way,0,226475,86348
7634,4,4041220,Route 1- Five Points Station,1,226526,86468
7634,4,4027838,Route 1- Coronet Way,0,226526,86348
7634,4,4038499,Route 1- Coronet Way,0,226526,86348
7634,4,4050449,Route 1- Five Points Station,1,226526,86468
7634,4,4031779,Route 1- Coronet Way,0,226526,86348
7634,4,4029882,Route 1- Five Points Station,1,226526,86468
7634,4,4034303,Route 1- Five Points Station,1,226475,86468
7634,4,4024562,Route 1- Coronet Way,0,226526,86348
7634,4,4027836,Route 1- Coronet Way,0,226475,86348
7634,4,4024552,Route 1- Five Points Station,1,226475,86468
7634,4,4034304,Route 1- Five Points Station,1,226475,86468
7634,4,4048782,Route 1- Five Points Station,1,226526,86468
7634,4,4042759,Route 1- Coronet Way,0,226526,86348
7634,4,4033058,Route 1- Five Points Station,1,226526,86468
7634,4,4041230,Route 1- Coronet Way,0,226475,86348
7634,4,4048119,Route 1- Five Points Station,1,226526,86468
7634,4,4035028,Route 1- Coronet Way,0,226526,86348
7634,4,4029886,Route 1- Coronet Way,0,226475,86348
7634,4,4042082,Route 1- Five Points Station,1,226475,86468
7634,4,4044226,Route 1- Coronet Way,0,226526,86348
7634,4,4041231,Route 1- Coronet Way,0,226526,86348
7634,4,4027826,Route 1- Five Points Station,1,226526,86468
7634,4,4048709,Route 1- Coronet Way,0,226526,86348
7634,4,4046762,Route 1- Five Points Station,1,226526,86468
7634,4,4034324,Route 1- Coronet Way,0,226475,86348
7634,4,4025972,Route 1- Coronet Way,0,226475,86348
7634,4,4027825,Route 1- Five Points Station,1,226475,86468
7634,4,4034101,Route 1- Five Points Station,1,226526,86468
7634,4,4031771,Route 1- Five Points Station,1,226475,86468
7634,4,4043614,Route 1- Five Points Station,1,226475,86468
7634,4,4044310,Route 1- Five Points Station,1,226526,86468
7634,4,4035024,Route 1- Five Points Station,1,226475,86468
7634,4,4029881,Route 1- Five Points Station,1,226475,86468
7634,4,4034323,Route 1- Coronet Way,0,226526,86348
7634,5,4024558,Route 1- Coronet Way,0,226233,86348
7634,5,4035029,Route 1- Coronet Way,0,226873,86291
7634,5,4034097,Route 1- Five Points Station,1,227457,86468
7634,5,4049703,Route 1- Five Points Station,1,226233,86528
7634,5,4042294,Route 1- Five Points Station,1,226781,86528
7634,5,4032664,Route 1- Coronet Way,0,227641,86291
7634,5,4050450,Route 1- Five Points Station,1,226233,86468
7634,5,4031764,Route 1- Five Points Station,1,227457,86468
7634,5,4048781,Route 1- Five Points Station,1,227641,86468
7634,5,4032661,Route 1- Coronet Way,0,226233,86348
7634,5,4025952,Route 1- Five Points Station,1,226781,86468
7634,5,4044225,Route 1- Coronet Way,0,226781,86348
7634,5,4029885,Route 1- Coronet Way,0,226780,86348
7634,5,4027832,Route 1- Coronet Way,0,226781,86348
7634,5,4024559,Route 1- Coronet Way,0,227641,86348
7634,5,4031766,Route 1- Five Points Station,1,227641,86468
7634,5,4025978,Route 1- Coronet Way,0,226233,86291
7634,5,4041226,Route 1- Coronet Way,0,226233,86348
7634,5,4034314,Route 1- Five Points Station,1,226233,86528
7634,5,4033061,Route 1- Five Points Station,1,226233,86528
7634,5,4041236,Route 1- Coronet Way,0,226233,86291
7634,5,4025954,Route 1- Five Points Station,1,226780,86468
7634,5,4044299,Route 1- Coronet Way,0,226781,86348
7634,5,4029890,Route 1- Coronet Way,0,226780,86291
7634,5,4025956,Route 1- Five Points Station,1,226233,86468
7634,5,4044298,Route 1- Five Points Station,1,227641,86468
7634,5,4041217,Route 1- Five Points Station,1,226233,86468
7634,5,4025965,Route 1- Coronet Way,0,227641,86348
7634,5,4042084,Route 1- Five Points Station,1,226780,86468
7634,5,4044311,Route 1- Five Points Station,1,226781,86528
7634,5,4042295,Route 1- Coronet Way,0,227641,86291
7634,5,4025963,Route 1- Five Points Station,1,227641,86528
7634,5,4025959,Route 1- Five Points Station,1,226781,86528
7634,5,4034313,Route 1- Five Points Station,1,226780,86528
7634,5,4034315,Route 1- Coronet Way,0,227529,86348
7634,5,4027833,Route 1- Coronet Way,0,227641,86348
7634,5,4049705,Route 1- Coronet Way,0,227641,86291
7634,5,4031787,Route 1- Coronet Way,0,226233,86291
7634,5,4025962,Route 1- Five Points Station,1,226233,86528
7634,5,4034334,Route 1- Coronet Way,0,226780,86291
7634,5,4043612,Route 1- Coronet Way,0,226780,86348
7634,5,4048496,Route 1- Five Points Station,1,226780,86468
7634,5,4048121,Route 1- Five Points Station,1,227641,86528
7634,5,4044227,Route 1- Coronet Way,0,227641,86348
7634,5,4038502,Route 1- Coronet Way,0,227605,86291
7634,5,4031765,Route 1- Five Points Station,1,226780,86468
7634,5,4025961,Route 1- Five Points Station,1,226780,86528
7634,5,4041225,Route 1- Coronet Way,0,227457,86348
7634,5,4027842,Route 1- Coronet Way,0,227529,86291
7634,5,4027822,Route 1- Five Points Station,1,227605,86411
7634,5,4043613,Route 1- Five Points Station,1,226233,86468
7634,5,4042086,Route 1- Five Points Station,1,226873,86528
7634,5,4025955,Route 1- Five Points Station,1,226780,86468
7634,5,4041224,Route 1- Coronet Way,0,226781,86348
7634,5,4042292,Route 1- Coronet Way,0,227641,86291
7634,5,4048125,Route 1- Coronet Way,0,226233,86291
7634,5,4024557,Route 1- Coronet Way,0,227457,86348
7634,5,4031786,Route 1- Coronet Way,0,226780,86291
7634,5,4032660,Route 1- Coronet Way,0,226781,86348
7634,5,4034312,Route 1- Five Points Station,1,226781,86528
7634,5,4048708,Route 1- Five Points Station,1,227605,86528
7634,5,4034953,Route 1- Coronet Way,0,226233,86291
7634,5,4034333,Route 1- Coronet Way,0,226873,86291
7634,5,4031776,Route 1- Five Points Station,1,227529,86528
7634,5,4044300,Route 1- Coronet Way,0,227605,86291
7634,5,4024556,Route 1- Five Points Station,1,227641,86528
7634,5,4034098,Route 1- Five Points Station,1,226233,86468
7634,5,4048784,Route 1- Five Points Station,1,226233,86528
7634,5,4045824,Route 1- Five Points Station,1,226233,86468
7634,5,4025964,Route 1- Five Points Station,1,227641,86528
7634,5,4047525,Route 1- Coronet Way,0,226233,86291
7634,5,4025960,Route 1- Five Points Station,1,226780,86528
7634,5,4044124,Route 1- Coronet Way,0,227605,86348
7634,5,4034316,Route 1- Coronet Way,0,226780,86348
7634,5,4044309,Route 1- Five Points Station,1,227605,86468
7634,5,4042756,Route 1- Coronet Way,0,226233,86291
7634,5,4031777,Route 1- Coronet Way,0,226780,86348
7634,5,4025953,Route 1- Five Points Station,1,227529,86468
7634,5,4025979,Route 1- Coronet Way,0,226233,86291
7634,5,4035022,Route 1- Five Points Station,1,227641,86411
7635,3,4022515,Route 2 - Decatur Station,0,226741,86266
7635,3,4026273,Route 2 - North Avenue Station,1,226741,86183
7635,3,4026283,Route 2 - Decatur Station,0,227022,86266
7635,3,4043821,Route 2 - North Avenue Station,1,226741,86183
7635,3,4030697,Route 2 - North Avenue Station,1,227022,86183
